project,entity,run_id,run_name,training_task,method,state,status,result_source,run_url,run_dir,has_output_log,seed,global_batch_size,train_steps_used,micro_batch_size,lr,temperature_eval,rollout_epoch,num_env_eval,eval_rollout_epoch,eval_episodes_per_task,lora_path,log_path,return,reward,episode_len,success_once,success_at_end,task_0_success,task_0_success_total,task_1_success,task_1_success_total,task_2_success,task_2_success_total,task_3_success,task_3_success_total,task_4_success,task_4_success_total,task_5_success,task_5_success_total,task_6_success,task_6_success_total,task_7_success,task_7_success_total,task_8_success,task_8_success_total,task_9_success,task_9_success_total,trn_avg,hld_avg,comment_tag,teacher_type_comment,teacher_lr_comment,student_train_steps_comment,objective_comment,adv_norm_comment,rollouts_per_step_comment,data_note_comment
rlinf,anmari-epfl,unna804c,eval_full_base_step_0_seed_2_rpt_320,,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/unna804c,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_base_step_0_seed_2_rpt_320__unna804c,True,2,8192,0.0,32,2e-05,1.6,16,20,40,320.0,,/users/anmari/vla-continual-learning/logs_spatial/evals/base_step_0_20260514_094258,0.465625,0.000909423828125,512.0,0.4681249998509884,0.09312500082887709,0.634375,320.0,0.184375,320.0,0.884375,320.0,0.653125,320.0,0.31875,320.0,0.04375,320.0,0.790625,320.0,0.690625,320.0,0.375,320.0,0.10625,320.0,0.5349999999999999,0.40125,,,,,,,,
rlinf,anmari-epfl,m79njg1o,eval_full_base_step_0_seed_3_rpt_320,,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/m79njg1o,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_base_step_0_seed_3_rpt_320__m79njg1o,True,3,8192,0.0,32,2e-05,1.6,16,20,40,320.0,,/users/anmari/vla-continual-learning/logs_spatial/evals/base_step_0_20260514_094302,0.4453125,0.0008697509765625,512.0,0.47312500029802323,0.08906249990686774,0.671875,320.0,0.2125,320.0,0.890625,320.0,0.64375,320.0,0.328125,320.0,0.028125,320.0,0.803125,320.0,0.678125,320.0,0.3625,320.0,0.1125,320.0,0.5493750000000001,0.396875,,,,,,,,
rlinf,anmari-epfl,t4bmomw3,eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_25_seed_184_rpt_320,1.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/t4bmomw3,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_25_seed_184_rpt_320__t4bmomw3,True,184,8192,25.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial/checkpoints/global_step_25/actor/,/users/anmari/vla-continual-learning/logs_spatial/evals/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_25_20260516_174122,0.415625,0.000811767578125,512.0,0.4703125022351742,0.0831250005401671,0.64375,320.0,0.265625,320.0,0.903125,320.0,0.659375,320.0,0.28125,320.0,0.015625,320.0,0.78125,320.0,0.640625,320.0,0.3375,320.0,0.175,320.0,0.5506249999999999,0.39,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,8nyb621y,eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_50_seed_184_rpt_320,1.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/8nyb621y,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_50_seed_184_rpt_320__8nyb621y,True,184,8192,50.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial/checkpoints/global_step_50/actor/,/users/anmari/vla-continual-learning/logs_spatial/evals/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_50_20260516_174129,0.45,0.00087890625,512.0,0.5253125041723251,0.09000000113155693,0.634375,320.0,0.48125,320.0,0.915625,320.0,0.653125,320.0,0.35625,320.0,0.015625,320.0,0.778125,320.0,0.65,320.0,0.509375,320.0,0.259375,320.0,0.608125,0.4425,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,4fdtdydd,eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_75_seed_184_rpt_320,1.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/4fdtdydd,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_75_seed_184_rpt_320__4fdtdydd,True,184,8192,75.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial/checkpoints/global_step_75/actor/,/users/anmari/vla-continual-learning/logs_spatial/evals/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_1_seed4096_spatial_step_75_20260516_174158,0.4734375,0.0009246826171875,512.0,0.5450000017881393,0.0946875000372529,0.640625,320.0,0.659375,320.0,0.884375,320.0,0.696875,320.0,0.34375,320.0,0.053125,320.0,0.734375,320.0,0.634375,320.0,0.55625,320.0,0.246875,320.0,0.645,0.445,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,yp5lwql0,eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_25_seed_184_rpt_320,4.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/yp5lwql0,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_25_seed_184_rpt_320__yp5lwql0,True,184,8192,25.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial/checkpoints/global_step_25/actor/,/users/anmari/vla-continual-learning/logs_spatial/evals/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_25_20260516_174220,0.440625,0.000860595703125,512.0,0.4784374997019768,0.08812500024214387,0.584375,320.0,0.203125,320.0,0.9,320.0,0.6625,320.0,0.48125,320.0,0.0375,320.0,0.775,320.0,0.634375,320.0,0.3625,320.0,0.14375,320.0,0.5662499999999999,0.390625,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,1pz4ipht,eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_50_seed_184_rpt_320,4.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/1pz4ipht,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_50_seed_184_rpt_320__1pz4ipht,True,184,8192,50.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial/checkpoints/global_step_50/actor/,/users/anmari/vla-continual-learning/logs_spatial/evals/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_50_20260516_174323,0.4234375,0.0008270263671875,512.0,0.48812500163912775,0.08468750009778887,0.609375,320.0,0.221875,320.0,0.865625,320.0,0.715625,320.0,0.584375,320.0,0.05625,320.0,0.734375,320.0,0.540625,320.0,0.328125,320.0,0.225,320.0,0.599375,0.376875,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,t2bwy8nc,eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_75_seed_184_rpt_320,4.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/t2bwy8nc,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_75_seed_184_rpt_320__t2bwy8nc,True,184,8192,75.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial/checkpoints/global_step_75/actor/,/users/anmari/vla-continual-learning/logs_spatial/evals/logs_spatial/sequential/grpo_rps32_gb2048_gs8_steps100_si25_task_4_seed4096_spatial_step_75_20260516_174357,0.346875,0.000677490234375,512.0,0.509062496572733,0.06937500084750355,0.65,320.0,0.21875,320.0,0.9,320.0,0.771875,320.0,0.703125,320.0,0.04375,320.0,0.7375,320.0,0.540625,320.0,0.303125,320.0,0.221875,320.0,0.6487499999999999,0.369375,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,5nu51mc4,eval_full_sft_teacher_task_1_step_0_seed_184_rpt_320,1.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/5nu51mc4,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_sft_teacher_task_1_step_0_seed_184_rpt_320__5nu51mc4,True,184,8192,0.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/task_1_seed184/opd_bc_teacher/actor,/users/anmari/vla-continual-learning/logs_spatial/evals/base_20260514_233230,0.4109375,0.0008026123046875,512.0,0.09656250067055225,0.0821875005029142,0.0,320.0,0.946875,320.0,0.0,320.0,0.0,320.0,0.0,320.0,0.0,320.0,0.0,320.0,0.0,320.0,0.01875,320.0,0.0,320.0,0.18937500000000002,0.00375,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
rlinf,anmari-epfl,l9sr01f4,eval_full_sft_teacher_task_4_step_0_seed_184_rpt_320,4.0,GRPO,finished,complete,output.log,https://wandb.ai/anmari-epfl/rlinf/runs/l9sr01f4,/Users/antoniomari/vla-continual-learning/results/wandb_downloads/rlinf/eval_full_sft_teacher_task_4_step_0_seed_184_rpt_320__l9sr01f4,True,184,8192,0.0,32,2e-05,1.6,16,20,40,320.0,/users/anmari/vla-continual-learning/logs_spatial/sequential/task_4_seed184/opd_bc_teacher/actor,/users/anmari/vla-continual-learning/logs_spatial/evals/base_20260514_233231,0.4640625,0.0009063720703125,512.0,0.12031250037252902,0.09281250014901161,0.00625,320.0,0.0,320.0,0.090625,320.0,0.146875,320.0,0.86875,320.0,0.0,320.0,0.090625,320.0,0.0,320.0,0.0,320.0,0.0,320.0,0.2225,0.018125,opd_variant,SFT teacher,1e-04,,OPD,with advantage normalization,128.0,same as seed 185; tried mad_abs and batch_zscore
