training_task,checkpoint_step,run_name,train_seed,same_task_success,heldout_success,method
1,0,grpo_rps128_gb8192_gs8_steps200_si25_task_1_seed2_spatial,2,0.20208333333333336,0.398125,Base
1,25,grpo_rps128_gb8192_gs8_steps200_si25_task_1_seed2_spatial,2,0.41875,0.43,GRPO
1,50,grpo_rps128_gb8192_gs8_steps200_si25_task_1_seed2_spatial,2,0.703125,0.43374999999999997,GRPO
1,75,grpo_rps128_gb8192_gs8_steps200_si25_task_1_seed2_spatial,2,0.875,0.42250000000000004,GRPO
1,0,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.20208333333333336,0.398125,Base
1,20,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.38125,0.41812499999999997,GRPO
1,40,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.6125,0.43562500000000004,GRPO
1,60,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.746875,0.43500000000000005,GRPO
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.20208333333333336,0.398125,Base
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.65625,0.44375,OPD
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.475,0.3675,OPD
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.825,0.426875,OPD
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.20208333333333336,0.398125,Base
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.8625,0.43187499999999995,OPD
4,0,grpo_rps128_gb8192_gs8_steps200_si25_task_4_seed2_spatial,2,0.315625,0.398125,Base
4,25,grpo_rps128_gb8192_gs8_steps200_si25_task_4_seed2_spatial,2,0.68125,0.399375,GRPO
4,50,grpo_rps128_gb8192_gs8_steps200_si25_task_4_seed2_spatial,2,0.746875,0.35,GRPO
4,75,grpo_rps128_gb8192_gs8_steps200_si25_task_4_seed2_spatial,2,0.821875,0.30375,GRPO
4,0,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.315625,0.398125,Base
4,20,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.60625,0.385625,GRPO
4,40,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.7,0.40875000000000006,GRPO
4,60,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.765625,0.42750000000000005,GRPO
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.684375,0.42312500000000003,OPD
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.75625,0.390625,OPD
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.615625,0.41187500000000005,OPD
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.73125,0.4175,OPD
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.521875,0.39437500000000003,OPD
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.71875,0.389375,OPD
