training_task,checkpoint_step,run_name,train_seed,same_task_success,heldout_success,method,label
1,0,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.20208333333333336,0.398125,Base,GRPO | Task 1 | 128 rollouts/step | 60 steps | group norm
1,20,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.38125,0.41812499999999997,GRPO,GRPO | Task 1 | 128 rollouts/step | 60 steps | group norm
1,40,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.6125,0.43562500000000004,GRPO,GRPO | Task 1 | 128 rollouts/step | 60 steps | group norm
1,60,grpo_rps128_gb8192_gs8_task_1_seed4096_spatial,4096,0.746875,0.43500000000000005,GRPO,GRPO | Task 1 | 128 rollouts/step | 60 steps | group norm
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.20208333333333336,0.398125,Base,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.65625,0.44375,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.20208333333333336,0.398125,Base,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.475,0.3675,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.825,0.426875,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.20208333333333336,0.398125,Base,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_1_seed184_spatial_norm_group_zscore,184,0.8625,0.43187499999999995,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 128 rollouts/step | 60 steps | group z-score"
4,0,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.315625,0.398125,Base,GRPO | Task 4 | 128 rollouts/step | 60 steps | group norm
4,20,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.60625,0.385625,GRPO,GRPO | Task 4 | 128 rollouts/step | 60 steps | group norm
4,40,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.7,0.40875000000000006,GRPO,GRPO | Task 4 | 128 rollouts/step | 60 steps | group norm
4,60,grpo_rps128_gb8192_gs8_task_4_seed4096_spatial,4096,0.765625,0.42750000000000005,GRPO,GRPO | Task 4 | 128 rollouts/step | 60 steps | group norm
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.315625,0.398125,Base,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.684375,0.42312500000000003,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.75625,0.390625,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.315625,0.398125,Base,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.615625,0.41187500000000005,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.73125,0.4175,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.315625,0.398125,Base,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.521875,0.39437500000000003,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps128_task_4_seed184_spatial_norm_group_zscore,184,0.71875,0.389375,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 128 rollouts/step | 60 steps | group z-score"
