training_task,run_name,checkpoint_step,sweep
1,grpo_rps32_gb2048_gs8_steps200_si25_task_1_seed2_spatial,200,steps200
1,opd_sftteacher_adv0_nonorm_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial,100,success_gate_rps32
1,opd_sftteacher_adv0_nonorm_success_gate_lam10p0_thr0p0_rps32_task_1_seed2_spatial,175,success_gate_rps32
1,opd_sftteacher_adv0_nonorm_success_gate_lam10p0_thr0p0_rps32_task_1_seed2_spatial,200,success_gate_rps32
1,opd_sftteacher_adv0_nonorm_success_gate_lam1p0_thr0p0_rps32_task_1_seed1_spatial,175,success_gate_rps32
1,opd_sftteacher_adv0_nonorm_success_gate_lam1p0_thr0p0_rps32_task_1_seed1_spatial,200,success_gate_rps32
1,opd_sftteacher_adv0_nonorm_success_gate_lam1p0_thr0p0_rps32_task_1_seed3_spatial,175,success_gate_rps32
1,opd_sftteacher_adv0_nonorm_success_gate_lam1p0_thr0p0_rps32_task_1_seed3_spatial,200,success_gate_rps32
1,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,175,success_gate_rps32
1,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,150,success_gate_rps32
4,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,25,steps200
