training_task,checkpoint_step,run_name,same_task_success,heldout_success,method
1,100,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.7625,0.44125,OPD
1,125,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.7625,0.44749999999999995,OPD
1,150,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.76875,0.425,OPD
1,175,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.775,0.46375,OPD
1,200,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.775,0.44312500000000005,OPD
1,25,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.734375,0.440625,OPD
1,50,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.76875,0.43500000000000005,OPD
1,75,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,0.796875,0.43687499999999996,OPD
4,100,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.74375,0.42437500000000006,OPD
4,125,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.79375,0.421875,OPD
4,150,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.759375,0.403125,OPD
4,175,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.759375,0.40874999999999995,OPD
4,200,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.771875,0.40437500000000004,OPD
4,25,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.709375,0.416875,OPD
4,50,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.728125,0.43624999999999997,OPD
4,75,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.746875,0.42000000000000004,OPD
1,100,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.75625,0.43,OPD
1,125,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.753125,0.43187499999999995,OPD
1,150,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.7875,0.43500000000000005,OPD
1,175,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.809375,0.429375,OPD
1,200,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.76875,0.421875,OPD
1,25,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.6625,0.40875000000000006,OPD
1,50,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.790625,0.43624999999999997,OPD
1,75,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,0.796875,0.43562500000000004,OPD
4,100,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.734375,0.425,OPD
4,125,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.75625,0.42124999999999996,OPD
4,150,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.76875,0.41624999999999995,OPD
4,175,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.753125,0.42000000000000004,OPD
4,200,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.753125,0.40125,OPD
