training_task,checkpoint_step,run_name,same_task_success,heldout_success,method,label
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.20208333333333336,0.398125,Base,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.35625,0.41500000000000004,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.546875,0.425,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.775,0.42374999999999996,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,100,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.80625,0.45875000000000005,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,125,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.76875,0.46125,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,150,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.771875,0.45499999999999996,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,175,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.83125,0.4325,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,200,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.90625,0.441875,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.20208333333333336,0.398125,Base,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.3625,0.379375,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.559375,0.385625,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.69375,0.385,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,100,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.75625,0.3875,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,125,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.8375,0.365,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,150,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.81875,0.3725,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,200,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.85,0.39375,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,0,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.20208333333333336,0.398125,Base,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.38125,0.39812499999999995,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.578125,0.433125,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.7375,0.4425,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,100,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.828125,0.45625,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,125,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.88125,0.448125,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,150,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.903125,0.47062499999999996,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,175,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.928125,0.44625000000000004,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
1,200,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,0.934375,0.4625,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 1 | 32 rollouts/step | 200 steps | group z-score"
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.50625,0.365,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.575,0.366875,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,75,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.690625,0.380625,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,100,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.71875,0.409375,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,125,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.71875,0.3875,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,150,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.73125,0.39375,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,175,opd_sftteacher_adv1_group_zscore_success_gate_lam0p1_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.75,0.390625,OPD,"Hybrid OPD | lambda=0.1, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
