training_task,checkpoint_step,run_name,train_seed,same_task_success,heldout_success,method
1,0,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.340625,0.339375,OPD
1,50,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.0375,0.168125,OPD
1,75,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.215625,0.145625,OPD
1,100,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.303125,0.08062499999999999,OPD
1,125,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.33125,0.061875,OPD
1,150,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.4,0.03,OPD
1,175,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.084375,0.017499999999999998,OPD
1,200,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_1_seed2_spatial,2,0.509375,0.003125,OPD
1,0,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.184375,0.334375,OPD
1,50,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.046875,0.12062500000000001,OPD
1,75,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.3875,0.114375,OPD
1,100,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.434375,0.08937500000000001,OPD
1,125,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.1375,0.03875,OPD
1,150,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.115625,0.036875,OPD
1,175,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.08125,0.023125,OPD
1,200,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_action_dim_zscore,2,0.0125,0.008125,OPD
1,0,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.3875,0.378125,OPD
1,50,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.621875,0.3325,OPD
1,75,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.771875,0.265,OPD
1,100,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.1875,0.180625,OPD
1,125,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.071875,0.140625,OPD
1,150,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.071875,0.10625,OPD
1,175,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.15,0.1325,OPD
1,200,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.13125,0.12562500000000001,OPD
1,0,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.20208333333333336,0.398125,Base
1,50,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.0,0.305,OPD
1,75,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.0,0.094375,OPD
1,100,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.003125,0.004999999999999999,OPD
1,125,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.0,0.0025,OPD
1,150,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.0,0.000625,OPD
1,175,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.0,0.000625,OPD
1,200,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_positive_clip,2,0.0,0.0,OPD
1,0,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.353125,0.38937499999999997,OPD
1,50,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.621875,0.341875,OPD
1,75,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.790625,0.29562499999999997,OPD
1,100,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.234375,0.22937499999999997,OPD
1,125,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.06875,0.13874999999999998,OPD
1,150,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.05,0.11125,OPD
1,175,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.040625,0.071875,OPD
1,200,opd_sftteacher_adv1_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,2,0.028125,0.08125,OPD
1,0,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.065625,0.32375,OPD
1,50,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.183125,OPD
1,75,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.061875,OPD
1,100,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.03375,OPD
1,125,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.020624999999999998,OPD
1,150,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.02,OPD
1,175,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.016875,OPD
1,200,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_teacher_prob,2,0.0,0.016875,OPD
1,0,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.20208333333333336,0.398125,Base
1,25,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.115625,0.338125,OPD
1,50,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.00625,0.164375,OPD
1,100,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.409375,0.09375,OPD
1,125,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.228125,0.040625,OPD
1,150,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.1625,0.023125,OPD
1,175,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.115625,0.01875,OPD
1,200,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_token_zscore,2,0.046875,0.01625,OPD
4,0,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.315625,0.398125,Base
4,25,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.384375,0.29125,OPD
4,50,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.48125,0.238125,OPD
4,75,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.496875,0.15687500000000001,OPD
4,100,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.471875,0.135,OPD
4,125,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.6625,0.08125,OPD
4,150,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.75625,0.075,OPD
4,175,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.778125,0.09875,OPD
4,200,opd_sftteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,2,0.703125,0.073125,OPD
4,0,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.3625,0.27625,OPD
4,50,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.39375,0.23625,OPD
4,75,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.440625,0.155,OPD
4,100,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.575,0.150625,OPD
4,125,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.415625,0.144375,OPD
4,150,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.69375,0.12062500000000001,OPD
4,175,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.7,0.10687500000000001,OPD
4,200,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.671875,0.105625,OPD
4,0,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.315625,0.398125,Base
4,50,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.5,0.36125,OPD
4,75,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.609375,0.373125,OPD
4,100,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.534375,0.3375,OPD
4,125,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.471875,0.29375,OPD
